date,mktrf,smb,hml,rf,umd
20081125,0.009400,0.000600,0.022700,0.00001,-0.020400
20081126,0.038800,0.016600,0.002400,0.00001,-0.051500
20081128,0.010600,-0.006600,0.019100,0.00001,-0.024100
20081201,-0.089500,-0.007400,-0.035200,0.00000,0.043400
20081202,0.039700,0.006700,0.025400,0.00000,-0.016700
20081203,0.026300,-0.002200,0.014700,0.00000,-0.004600
20081204,-0.029000,0.000200,0.012500,0.00000,0.007900
20081205,0.037500,0.000800,0.017700,0.00000,-0.018700
20081208,0.038000,-0.003700,0.001500,0.00000,-0.046500
20081209,-0.022300,-0.005900,-0.012200,0.00000,-0.005500
20081210,0.012000,0.010500,-0.009800,0.00000,-0.012700
20081211,-0.029300,-0.011800,-0.022000,0.00000,0.013100
20081212,0.009600,0.023000,0.006000,0.00000,-0.003100
20081215,-0.015400,-0.012700,-0.012600,0.00000,0.013000
20081216,0.051500,-0.001800,0.024100,0.00000,-0.030700
20081217,-0.006200,0.017300,-0.005100,0.00000,-0.014200
20081218,-0.018300,0.009100,-0.003400,0.00000,0.014900
20081219,0.003500,0.007200,-0.000300,0.00000,-0.012300
20081222,-0.018700,0.000000,-0.007500,0.00000,0.034200
20081223,-0.008900,-0.001100,-0.009000,0.00000,0.012300
20081224,0.005100,-0.003300,0.005900,0.00000,-0.003400
20081226,0.006300,0.005800,0.000700,0.00000,-0.007900
20081229,-0.005600,-0.014100,-0.000300,0.00000,0.013100
20081230,0.024700,0.005600,0.009800,0.00000,-0.015300
20081231,0.017000,0.015400,0.007700,0.00000,-0.018500
20090102,0.031100,-0.013200,-0.003600,0.00000,-0.043200
20090105,-0.002800,0.006500,-0.011200,0.00000,-0.028200
20090106,0.008700,0.010100,0.008700,0.00000,-0.050400
20090107,-0.029600,0.003200,-0.011100,0.00000,0.018100
20090108,0.004700,0.007200,0.004100,0.00000,-0.016400
20090109,-0.022100,-0.014300,-0.011100,0.00000,0.007900
20090112,-0.022800,0.003000,-0.018100,0.00000,0.039500
20090113,0.002800,0.004200,0.002100,0.00000,0.007100
20090114,-0.033800,-0.005400,-0.012400,0.00000,0.029100
20090115,0.003900,0.022600,-0.022500,0.00000,0.018300
20090116,0.007400,0.004400,-0.010200,0.00000,0.002300
20090120,-0.053400,0.001200,-0.039000,0.00000,0.046900
20090121,0.042100,-0.012000,0.025300,0.00000,-0.042600
20090122,-0.016200,-0.010100,-0.016100,0.00000,0.024200
20090123,0.004400,-0.004900,0.009000,0.00000,-0.025400
20090126,0.005400,0.007600,-0.006000,0.00000,0.000800
20090127,0.010800,-0.004200,0.003200,0.00000,-0.013000
20090128,0.033200,-0.005900,0.026300,0.00000,-0.040600
20090129,-0.032300,-0.001500,-0.022900,0.00000,0.030900
20090130,-0.021600,0.001900,-0.011900,0.00000,0.018200
20090202,0.000600,0.012900,-0.005100,0.00001,0.010300
20090203,0.014600,-0.001900,-0.023500,0.00001,0.008700
20090204,-0.006000,-0.002300,-0.004300,0.00001,-0.009000
20090205,0.016100,0.001400,-0.002400,0.00001,-0.017000
20090206,0.027900,-0.000300,0.021900,0.00001,-0.030800
20090209,0.000300,-0.009300,0.002000,0.00001,-0.014300
20090210,-0.046200,0.010600,-0.027800,0.00001,0.037500
20090211,0.007500,-0.007600,0.012500,0.00001,-0.008100
20090212,0.003000,0.003200,-0.005900,0.00001,0.002600
20090213,-0.008500,0.009700,-0.014400,0.00001,-0.001800
20090217,-0.043600,0.010000,-0.023000,0.00001,0.042100
20090218,-0.003300,-0.009300,-0.007100,0.00001,0.009500
20090219,-0.011500,-0.000400,-0.019900,0.00001,0.019900
20090220,-0.011600,-0.000200,-0.009900,0.00001,0.014300
20090223,-0.034300,-0.004700,0.008700,0.00001,0.019200
20090224,0.040000,-0.009600,0.029300,0.00001,-0.041000
20090225,-0.011500,-0.014500,0.001800,0.00001,0.003800
20090226,-0.015300,-0.004200,0.012800,0.00001,-0.016600
20090227,-0.020100,0.018000,-0.021200,0.00001,0.023300
20090302,-0.047500,-0.002500,-0.002800,0.00001,0.052500
20090303,-0.007100,-0.006900,-0.024200,0.00001,0.003700
20090304,0.024200,0.005300,-0.009800,0.00001,-0.016900
20090305,-0.042100,-0.004800,-0.029900,0.00001,0.033200
20090306,0.002000,0.004100,-0.006600,0.00001,0.005900
20090309,-0.010900,-0.009300,0.003300,0.00001,-0.016800
20090310,0.063500,-0.009100,0.041500,0.00001,-0.065500
20090311,0.003000,-0.005500,0.005700,0.00001,-0.009800
20090312,0.041600,0.011200,0.026000,0.00001,-0.035600
20090313,0.007300,0.001700,0.005500,0.00001,-0.001100
20090316,-0.005500,-0.010300,0.004200,0.00001,-0.014700
20090317,0.032000,0.006800,0.014100,0.00001,-0.014400
20090318,0.021800,0.000900,0.039600,0.00001,-0.051500
20090319,-0.010300,0.010000,-0.025300,0.00001,0.001900
20090320,-0.019500,-0.003600,-0.007900,0.00001,0.028400
20090323,0.068900,-0.006500,0.040300,0.00001,-0.075100
20090324,-0.019300,-0.011500,-0.015300,0.00001,0.002300
20090325,0.009400,0.009600,0.013000,0.00001,-0.005800
20090326,0.026800,0.019000,-0.000100,0.00001,-0.022700
20090327,-0.020600,-0.013500,0.002800,0.00001,0.009800
20090330,-0.034700,0.017400,-0.038300,0.00001,0.066600
20090331,0.012900,-0.005600,0.015200,0.00001,-0.016000
20090401,0.016500,-0.005000,0.014700,0.00001,-0.026200
20090402,0.030700,0.019300,0.004900,0.00001,-0.042900
20090403,0.010200,-0.001200,0.008600,0.00001,-0.031600
20090406,-0.009200,-0.006600,-0.004800,0.00001,0.002500
20090407,-0.024200,-0.007300,-0.001900,0.00001,0.018200
20090408,0.012800,0.010600,0.000900,0.00001,-0.010400
20090409,0.039200,0.003600,0.043300,0.00001,-0.082100
20090413,0.002600,-0.009200,0.022700,0.00001,-0.039300
20090414,-0.020200,-0.000700,-0.028400,0.00001,0.014500
20090415,0.011200,-0.001500,0.023200,0.00001,-0.020000
20090416,0.016900,0.012300,0.001300,0.00001,-0.016700
20090417,0.005500,0.008600,0.002600,0.00001,-0.019600
20090420,-0.043200,0.000500,-0.042200,0.00001,0.070100
20090421,0.021900,0.007900,0.030800,0.00001,-0.039100
20090422,-0.006100,0.014700,-0.011000,0.00001,-0.017300
20090423,0.006600,-0.018300,0.002400,0.00001,-0.010300
20090424,0.017700,0.008000,0.001700,0.00001,-0.034400
20090427,-0.009500,-0.004600,-0.017100,0.00001,0.022500
20090428,-0.002000,0.009200,0.000700,0.00001,0.012700
20090429,0.024100,0.007500,0.011800,0.00001,-0.027500
20090430,-0.000400,-0.004200,-0.006400,0.00001,-0.025400
20090501,0.004500,-0.004800,-0.002500,0.00000,-0.019100
20090504,0.033600,-0.003900,0.029300,0.00000,-0.052800
20090505,-0.002700,0.001900,-0.001500,0.00000,-0.013300
20090506,0.014500,-0.020700,0.026300,0.00000,-0.036600
20090507,-0.014200,-0.007700,-0.008000,0.00000,0.011000
20090508,0.024800,0.002600,0.027600,0.00000,-0.050600
20090511,-0.020100,0.012100,-0.024500,0.00000,0.022700
